ContactId,TagId
8511,237
8899,273
8901,273
8903,273
8905,273
8907,273
8909,273
8911,273
8913,273
8915,273
8917,273
8919,273
8921,273
8923,273
8925,273
8927,273
9451,279
8775,271
9525,283
8285,239
8285,275
9593,285
9595,285
9597,285
9593,287
9595,287
9597,287
8513,241
8583,263
8585,263
8285,131
8287,131
8289,131
8291,131
8293,131
8295,131
8297,131
8299,131
8301,131
8303,131
8285,207
8415,207
8365,139
8285,173
8285,209
9657,261
8515,261
8545,261
8547,261
8551,261
8553,261
8555,261
8557,261
8559,261
8561,261
8563,261
8565,261
8567,261
8569,261
8571,261
8573,261
8575,261
8577,261
8581,261
8623,261
8625,261
8635,261
8647,261
8657,261
8659,261
8661,261
8663,261
8669,261
8671,261
8675,261
8677,261
8679,261
8687,261
8693,261
8695,261
8697,261
8699,261
8701,261
8703,261
8705,261
8709,261
8711,261
8719,261
8721,261
8723,261
8725,261
8733,261
8735,261
8737,261
8739,261
8743,261
8749,261
8753,261
8755,261
8757,261
8759,261
8761,261
8763,261
8765,261
8767,261
8769,261
8771,261
8773,261
8777,261
8779,261
8781,261
8783,261
8785,261
8787,261
8789,261
8791,261
8793,261
8795,261
8797,261
8799,261
8801,261
8803,261
8805,261
8807,261
8809,261
8811,261
8813,261
8815,261
8817,261
8819,261
8821,261
8823,261
8825,261
8827,261
8829,261
8831,261
8833,261
8837,261
8841,261
8843,261
8845,261
8847,261
8849,261
8851,261
8853,261
8855,261
8857,261
8859,261
8863,261
8865,261
8867,261
8869,261
8871,261
8875,261
8881,261
8885,261
8887,261
8889,261
8893,261
8895,261
8897,261
8929,261
8931,261
8933,261
8935,261
8937,261
8939,261
8943,261
8945,261
8947,261
8953,261
8955,261
8957,261
8959,261
8961,261
8965,261
8969,261
8973,261
8975,261
8977,261
8979,261
8981,261
8983,261
8985,261
8987,261
8989,261
8991,261
8993,261
8995,261
8997,261
8999,261
9001,261
9003,261
9005,261
9007,261
9009,261
9011,261
9013,261
9015,261
9017,261
9019,261
9021,261
9023,261
9025,261
9027,261
9029,261
9031,261
9033,261
9035,261
9037,261
9039,261
9041,261
9045,261
9047,261
9049,261
9051,261
9053,261
9055,261
9059,261
9061,261
9063,261
9067,261
9069,261
9071,261
9075,261
9077,261
9079,261
9081,261
9083,261
9085,261
9087,261
9089,261
9091,261
9093,261
9095,261
9097,261
9099,261
9101,261
9103,261
