ContactId,SubscriptionPlanId,ProductId,ProgramId,CC1,PaymentGatewayId,Frequency,BillingCycle,BillingAmt,PromoCode,Status,StartDate,EndDate,ReasonStopped,PaidThruDate,NextBillDate,AutoCharge,MaxRetry,NumDaysBetweenRetry
1412973,211,1421,211,167729,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-05-15 00:00:00,2012-06-14 00:00:00,,2012-06-14 00:00:00,2012-07-14 00:00:00 UTC,No,3,2
1417171,211,1421,211,167957,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-05-15 00:00:00,2012-05-29 00:00:00,,2012-05-15 00:00:00,2012-06-14 00:00:00 UTC,No,3,2
1415003,211,1421,211,167875,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-05-15 00:00:00,2012-06-13 00:00:00,,2012-05-15 00:00:00,2012-06-14 00:00:00 UTC,No,3,2
1414691,211,1421,211,167847,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-05-21 00:00:00,2012-07-24 00:00:00,Billing Failure,2012-06-20 00:00:00,2012-07-20 00:00:00 UTC,No,5,2
1417859,211,1421,211,167973,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-05-28 00:00:00,2016-02-22 00:00:00,,2016-02-20 00:00:00,2016-03-20 00:00:00 UTC,No,3,2
1417883,211,1421,211,167979,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-05-29 00:00:00,2012-11-02 00:00:00,Billing Failure - Doesn't wish to continue service,2012-10-28 00:00:00,2012-11-28 00:00:00 UTC,Yes,3,2
1415147,75,1449,75,167883,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-06-19 00:00:00,,,2012-07-19 00:00:00,2012-08-19 00:00:00 UTC,No,3,2
1411531,75,1449,75,167669,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-06-19 00:00:00,2012-09-06 00:00:00,,2012-08-19 00:00:00,2012-09-19 00:00:00 UTC,No,3,2
1411167,211,1421,211,167655,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-06-25 00:00:00,2012-08-29 00:00:00,Billing Failure,2012-08-25 00:00:00,2012-09-25 00:00:00 UTC,Yes,3,2
1419891,211,1421,211,168051,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-07-06 00:00:00,2012-08-09 00:00:00,Billing Failure,2012-08-05 00:00:00,2012-09-05 00:00:00 UTC,Yes,3,2
1410549,211,1421,211,167585,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-07-15 00:00:00,2012-08-10 00:00:00,,2012-07-15 00:00:00,2012-08-14 00:00:00 UTC,No,3,2
1423393,73,1445,73,168125,SEE DESTINATION APP,1,2,47.0,,Inactive,2012-07-27 00:00:00,2012-10-02 00:00:00,Billing Failure,2012-09-27 00:00:00,2012-10-27 00:00:00 UTC,Yes,3,2
1424459,211,1421,211,168127,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-08-01 00:00:00,2012-10-03 00:00:00,Billing Failure,2012-09-29 00:00:00,2012-10-29 00:00:00 UTC,Yes,3,2
1419101,71,1443,71,168023,SEE DESTINATION APP,1,2,147.0,,Inactive,2012-08-06 00:00:00,2015-01-06 00:00:00,,2015-01-01 00:00:00,2015-02-01 00:00:00 UTC,No,3,2
1424637,211,1421,211,168133,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-08-06 00:00:00,2012-09-11 00:00:00,TFF The Forex Pro $97,2012-09-05 00:00:00,2012-10-05 00:00:00 UTC,Yes,3,2
1424681,211,1421,211,168135,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-08-08 00:00:00,2012-10-29 00:00:00,,2012-10-07 00:00:00,2012-11-07 00:00:00 UTC,No,3,2
1414305,73,1445,73,167803,SEE DESTINATION APP,1,2,47.0,,Inactive,2012-08-09 00:00:00,2012-09-13 00:00:00,Billing Failure,2012-09-09 00:00:00,2012-10-09 00:00:00 UTC,Yes,3,2
1410355,81,2395,81,0,SEE DESTINATION APP,1,2,0.0,,Inactive,2012-08-14 00:00:00,2012-09-14 00:00:00,Subscription ends on the above date based upon the number of cycles set. You may choose a different date as needed.,2012-08-14 00:00:00,2012-09-14 00:00:00 UTC,Yes,3,2
1426163,211,1421,211,168217,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-08-24 00:00:00,2012-09-20 00:00:00,,2012-08-24 00:00:00,2012-09-23 00:00:00 UTC,No,3,2
1426295,211,1421,211,168219,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-08-26 00:00:00,2013-05-07 00:00:00,,2013-04-25 00:00:00,2013-05-25 00:00:00 UTC,No,3,2
1426329,73,1445,73,168225,SEE DESTINATION APP,1,2,47.0,,Inactive,2012-08-27 00:00:00,2012-12-04 00:00:00,,2012-11-27 00:00:00,2012-12-27 00:00:00 UTC,Yes,3,2
1426361,211,1421,211,168233,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-08-28 00:00:00,2012-10-25 00:00:00,,2012-09-27 00:00:00,2012-10-27 00:00:00 UTC,No,3,2
1413199,211,1421,211,167731,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-10-08 00:00:00,2012-11-19 00:00:00,Billing Failure,2012-11-07 00:00:00,2012-12-07 00:00:00 UTC,Yes,3,2
1436277,211,1421,211,168433,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-10-11 00:00:00,2012-12-10 00:00:00,,2012-12-10 00:00:00,2013-01-10 00:00:00 UTC,Yes,3,2
1440453,73,1445,73,168461,SEE DESTINATION APP,1,2,47.0,,Inactive,2012-10-15 00:00:00,2012-11-13 00:00:00,,2012-10-15 00:00:00,2012-11-15 00:00:00 UTC,No,3,2
1416591,211,1421,211,0,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-10-19 00:00:00,,,2012-10-19 00:00:00,2012-11-18 00:00:00 UTC,No,3,2
1441303,211,1421,211,168497,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-10-26 00:00:00,2012-11-19 00:00:00,,2012-10-26 00:00:00,2012-11-25 00:00:00 UTC,No,3,2
1441273,211,1421,211,168495,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-10-27 00:00:00,2013-03-26 00:00:00,,2013-03-26 00:00:00,2013-04-26 00:00:00 UTC,No,3,2
1441305,211,1421,211,168499,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-10-28 00:00:00,2013-04-10 00:00:00,,2013-03-27 00:00:00,2013-04-27 00:00:00 UTC,No,3,2
1441323,73,1445,73,168501,SEE DESTINATION APP,1,2,47.0,,Inactive,2012-11-01 00:00:00,2012-12-03 00:00:00,,2012-12-01 00:00:00,2013-01-01 00:00:00 UTC,No,3,2
1441305,71,1443,71,168499,SEE DESTINATION APP,1,2,147.0,Dallas,Inactive,2012-11-06 00:00:00,2013-04-10 00:00:00,,2013-04-06 00:00:00,2013-05-06 00:00:00 UTC,No,3,2
1431751,211,1421,211,168379,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-11-08 00:00:00,2012-12-07 00:00:00,,2012-11-08 00:00:00,2012-12-08 00:00:00 UTC,No,3,2
1438415,211,1421,211,168451,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-11-16 00:00:00,2012-12-27 00:00:00,Billing Failure,2012-12-16 00:00:00,2013-01-16 00:00:00 UTC,Yes,3,2
1441603,71,1443,71,168521,SEE DESTINATION APP,1,2,147.0,,Inactive,2012-11-18 00:00:00,2013-05-07 00:00:00,,2012-11-18 00:00:00,2013-01-03 00:00:00 UTC,No,3,2
1430043,211,1421,211,168337,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-11-19 00:00:00,2013-07-15 00:00:00,,2013-06-19 00:00:00,2013-07-19 00:00:00 UTC,No,3,2
1441897,211,1421,211,0,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-11-21 00:00:00,,,2012-12-21 00:00:00,2013-01-21 00:00:00 UTC,No,3,2
1429985,211,1421,211,0,SEE DESTINATION APP,1,2,97.0,,Inactive,2012-11-23 00:00:00,2012-12-10 00:00:00,,2012-11-23 00:00:00,2012-12-23 00:00:00 UTC,No,3,2
